ID, DateTimeUTC, TapType, StopId, CompanyId, BusID, PAN
1, 22-01-2018 13:00:00, ON, Stop1, Company1, Bus37, 6759649826438453
2, 22-01-2018 13:05:23, OFF, Stop2, Company1, Bus37, 6759649826438453
3, 22-01-2018 13:01:32, ON, Stop2, Company1, Bus37, 6799990100000000019
4, 22-01-2018 13:03:12, ON, Stop1, Company1, Bus37, 122000000000003
5, 22-01-2018 13:10:23, ON, Stop2, Company1, Bus37, 34343434343434
6, 22-01-2018 13:05:56, OFF, Stop3, Company1, Bus37, 122000000000003
7, 22-01-2018 13:11:34, OFF, Stop1, Company1, Bus37, 34343434343434
8, 22-01-2018 13:20:14, ON, Stop2, Company1, Bus37, 122000000000003
9, 22-01-2018 13:21:56, OFF, Stop2, Company1, Bus37, 122000000000003
10, 22-01-2018 13:12:26, ON, Stop3, Company1, Bus37, 4917610000000000003
11, 22-01-2018 13:13:59, ON, Stop3, Company1, Bus37, 4484070000000000
12, 22-01-2018 13:06:45, OFF, Stop3, Company1, Bus37, 6799990100000000019
13, 22-01-2018 13:16:17, OFF, Stop2, Company1, Bus37, 4917610000000000003
14, 22-01-2018 13:25:14, ON, Stop1, Company1, Bus37, 630495060000000000
15, 22-01-2018 13:15:29, OFF, Stop1, Company1, Bus37, 4484070000000000
16, 22-01-2018 13:02:00, ON, Stop3, Company1, Bus37, 3528000700000000
17, 22-01-2018 14:08:00, ON, Stop2, Company1, Bus37, 3528000700000000
18, 22-01-2018 13:27:56, OFF, Stop1, Company1, Bus37, 630495060000000000
19, 22-01-2018 16:17:00, ON, Stop1, Company1, Bus37, 3528000700000000
20, 22-01-2018 16:17:00, OFF, Stop1, Company1, Bus37, 5555555555554444
21, 22-01-2018 17:13:12, ON, Stop1, Company1, Bus37, 122000000000003
22, 22-01-2018 18:15:56, OFF, Stop2, Company1, Bus37, 122000000000003
